H,K,L,Distance,2theta/TOF,Mult
-1,1,0,3.1797,28.06243761549183,8
1,0,-1,2.555,35.12307414782845,8
0,2,0,2.2484,40.10425531293364,4
-1,-1,1,2.2214,40.61304352552214,8
1,-2,0,2.011,45.082883096359346,8
1,-2,-1,1.6879,54.35301628291754,16
2,2,0,1.5898,58.01398297888346,4
0,0,2,1.5524,59.55046670861634,2
3,1,0,1.422,65.65857878302751,8
-2,-2,1,1.4151,66.01943771173472,8
-1,1,-2,1.395,67.0953727865235,16
0,3,-1,1.3498,69.65902593772513,8
-1,-3,-1,1.2928,73.2133028310878,8
0,2,2,1.2775,74.23619490026807,8
-2,3,0,1.2471,76.36526453276409,8
1,2,2,1.2288,77.71363007593101,8
-3,-2,1,1.1573,83.53917783882675,16
0,4,0,1.1242,86.58921694959864,4
2,-2,2,1.1107,87.90866659701948,8
-1,4,0,1.0906,89.96276006420653,8
